Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors
Cogoport,2018,,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,"₹ 60,00,000.00","Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,
PaisaDukan,2018,,Financial Services,Seed,"₹ 6,50,000.00","Mumbai, Maharashtra, India",A P2P lending marketplace platform,
Sleepy Owl Coffee,2018,,Food and Beverage,Seed,"₹ 3,50,00,000.00","New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",
BlueJack,2018,,Autonomous Vehicles,Seed,"₹ 6,40,00,000.00","Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,
PregBuddy,2018,,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,—,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,
AgNext Technologies,2018,,"Agriculture, Analytics, Big Data, Farming",Series A,—,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,
Pando,2018,,"Logistics, Supply Chain Management",Seed,2000000,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,
Mintifi,2018,,"Financial Services, Lending",Seed,2000000,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,
Carcrew,2018,,"Automotive, Marketplace, Online Portals",Seed,2000000,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,
NicheAI,2018,,Artificial Intelligence,Angel,—,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,
Chariot Tech,2018,,"Internet of Things, Telecommunications",Seed,"₹ 2,00,00,000.00","New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,
Ideal Insurance Brokers/ 121Policy.com,2018,,Insurance,Seed,1000000,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,
Loanzen,2018,,Financial Services,Seed,—,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,
Mojro Technologies,2018,,"Information Technology, Logistics, Supply Chain Management",Seed,650000,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,
Elemential,2018,,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",
Loadshare,2018,,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,
Yumlane,2018,,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,
Kriger Campus,2018,,Education,Seed,"₹ 3,00,00,000.00","New Delhi, Delhi, India",A Education Start Up.,
Pipa+Bella,2018,,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,
Kaleidofin,2018,,Financial Services,Seed,2800000,"Chennai, Tamil Nadu, India",A fintech platform.,
Chakr Innovation,2018,,Renewable Energy,Seed,—,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,
IndigoLearn,2018,,"E-Learning, Education",Seed,150000,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,
UClean,2018,,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,"₹ 4,00,00,000.00","India, Asia",UClean is a tech enabled laundry service provider.,
Coutloot,2018,,"E-Commerce, Fashion, Mobile",Seed,1000000,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,
Letstrack,2018,,"Apps, Messaging, Navigation, Public Safety",Seed,1700000,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",
Pooltoo,2018,,Transportation,Seed,—,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,
Finzy,2018,,"Financial Services, Lending",Seed,1300000,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,
Fitternity,2018,,"Fitness, Health Care, Wellness",Seed,2000000,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,
Keito,2018,,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,—,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,
Tolet for Students,2018,,Hospitality,Seed,"₹ 50,00,000.00","Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",
Chai Kings,2018,,"Food and Beverage, Tea",Seed,"₹ 2,00,00,000.00","Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,
Dainik Jagran,2018,,"Media and Entertainment, News, Outdoors",Seed,"₹ 4,00,00,000.00","Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,
Playtoome,2018,,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,"₹ 2,00,00,000.00","Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,
ONGO Framework,2018,,"B2B, Information Services, Information Technology",Angel,1000000,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,
Notesgen,2018,,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,"₹ 1,25,00,000.00","New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,
Arogya MedTech,2018,,"Health Care, Medical",Seed,"₹ 1,50,00,000.00","Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,
Propshop24,2018,,E-Commerce,Seed,500000,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",
myUpchar,2018,,"Health Care, Hospital, Wellness",Series A,5000000,"New Delhi, Delhi, India",To bring health issues to people in their language.,
MissMalini Entertainment,2018,,—,Seed,"₹ 10,40,00,000.00","Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",
Rooter,2018,,Sports,Seed,"₹ 4,50,00,000.00","India, Asia",Rooter is a mobile-based platform,
ZestMoney,2018,,"Big Data, Consumer Lending, FinTech",Series A,13400000,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,
alphaics Corporation,2018,,"Cloud Computing, Computer, Semiconductor",Seed,—,"Bengaluru, Karnataka, India",Advancing AI compute,
MyDentistChoice,2018,,"Health Care, Medical, Pharmaceutical",Seed,500000,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,
Sattviko,2018,,"Food Processing, Retail",Angel,—,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,
Sensibull,2018,2014,Trading Platform,Seed,"₹ 2,50,00,000.00","Bangalore, Karnataka, India",Investment Management Platform,
Bombay Shaving Company,2018,,"Consumer Goods, Lifestyle, Men's",Series A,—,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,
MedCords,2018,2014,Wellness,Seed,"₹ 2,64,00,000.00","Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,
University Living,2018,,Education,Seed,—,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,
&ME,2018,2014,"Food and Beverage, Food Processing, Nutrition",Seed,—,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,
Enakshi,2018,2004,Fashion,Seed,"₹ 80,00,000.00","Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,
Ultraviolette Automotive,2018,,"Automotive, Electric Vehicle, Energy Storage",Series A,"₹ 60,000.00","Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,
Inthree Access,2018,,"Consulting, Retail, Social",Series A,4000000,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,
BUGWORKS Research India,2018,2013,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,
Guardian.in,2018,,Health Care,Seed,—,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,
PrestLoans,2018,2010,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",
Wimoxez,2018,2010,Internet,Seed,20000,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",
India Accelerator,2018,,"Communities, Coworking, Incubators",Angel,—,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,
HappyEMI,2018,2018,"Consumer, Financial Services, FinTech",Seed,1000000,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,
Wishup,2018,2019,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,—,"Azadpur, Delhi, India",Premium Personal Assistance service,
Hansel.io,2018,,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",
Propelld,2018,2017,"Education, Financial Services, FinTech",Seed,250000,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,
PivotRoots,2018,2011,"Advertising, Consulting, Digital Marketing",Series A,—,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,
ZiffyHomes,2018,2015,"Marketplace, Real Estate, Rental Property",Seed,120000,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,
Carmesi,2018,2014,Health Care,Seed,"₹ 3,40,00,000.00","Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,
OckyPocky,2018,2018,"E-Learning, Internet, Video Games",Angel,—,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,
Racetrack,2018,2015,"Artificial Intelligence, Cloud Computing, Video",Seed,"₹ 34,20,00,000.00","Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",
WHR,2018,2018,"Health Care, Information Technology",Seed,"$ 1,43,145.00","Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",
Asteria Aerospace,2018,2013,Aerospace,Seed,—,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,
FabAlley,2018,2018,"E-Commerce, Fashion, Lifestyle",Series B,"₹ 60,00,00,000.00","Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",
Tranzmeo,2018,2014,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,—,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,
SBI Life,2018,2019,Insurance,Private Equity,"$ 74,20,00,000.00","Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,
Studds Accessories,2018,2017,E-Commerce,Private Equity,"₹ 1,00,00,00,000.00","Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,
Design Cafe,2018,,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,"₹ 2,00,00,00,000.00","Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",
NoPaperForms Solutions Pvt. Ltd.,2018,2015,"EdTech, Education, Information Services, SaaS",Series B,"$ 39,80,000.00","New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",
Rays Power Infra,2018,2019,"Energy, Solar",Venture - Series Unknown,"₹ 2,00,00,00,000.00","Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,
AuthMetrik,2018,,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,"$ 10,000.00","Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",
Khidki,2018,,"Artificial Intelligence, Social",Seed,—,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,
LetsTransport,2018,2014,"Logistics, Transportation, Travel",Series B,"₹ 1,00,00,00,000.00","Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,
Next Digital Solutions,2018,2011,"Digital Marketing, SEM, SEO, Web Development",Angel,"₹ 1,00,000.00","Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,
Portea Medical,2018,2014,"Health Care, Hospital, Medical",Debt Financing,"₹ 25,00,00,000.00","Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,
Aavas Financiers,2018,2017,"Finance, Financial Services",Post-IPO Debt,"₹ 2,00,00,00,000.00","Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",
Swiggy,2018,2018,"Food Delivery, Food Processing, Internet",Series H,"$ 1,00,00,00,000.00","Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,
Milkbasket,2018,,"E-Commerce, Food and Beverage, Internet",Series A,"$ 70,00,000.00","Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",
Nutrisattva (Proliva),2018,2016,"Fitness, Food and Beverage, Health Care, Nutrition",Angel,—,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,
Toppr,2018,2013,"EdTech, Education, Knowledge Management",Series C,"$ 3,50,00,000.00","Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,
Vivriti Capital,2018,2015,Financial Services,Venture - Series Unknown,"$ 2,85,00,000.00","Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,
Be U Salons,2018,2012,"Apps, Beauty, Consumer, Retail",Seed,"₹ 3,00,00,000.00","New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,
Impact Guru,2018,2016,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,"$ 20,00,000.00","Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",
MobiKwik,2018,2014,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,"₹ 24,00,00,000.00","Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,
Stones2Milestones,2018,2014,"E-Learning, Education, Higher Education",Seed,—,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,
Generico,2018,2015,"Health Care, Medical, Pharmaceutical",Series A,—,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,
Adiuvo Diagnostics,2018,2016,Health Diagnostics,Seed,—,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,
DataTrained,2018,2011,"EdTech, Education",Seed,"₹ 12,00,00,000.00","Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",
OneAssist,2018,2016,"Financial Services, SaaS, Security",Debt Financing,"$ 24,00,000.00","Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,
Satin Creditcare Network Limited (SCNL),2018,2012,"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,"$ 3,00,00,000.00","New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,
APAC Financial Services,2018,2017,"Finance, Financial Services",Private Equity,"₹ 2,50,00,00,000.00","Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,
Moglix,2018,2016,"B2B, E-Commerce, Mobile",Series C,"$ 2,30,00,000.00","Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",
SEDEMAC Mechatronics,2018,2015,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,—,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,
MadGuy Labs,2018,2015,E-Learning,Venture - Series Unknown,"$ 1,50,000.00","Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,
Dee Dee Labs,2018,2014,"Embedded Systems, Health Care, Medical, Product Research",Seed,—,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,
Shop101,2018,,"Apps, E-Commerce, Internet",Series B,"$ 1,10,00,000.00","Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,
FeedMyPockets,2018,2010,"Advertising, Human Resources, Marketing",Seed,"₹ 4,40,00,000.00","Bangalore City, Karnataka, India",On Demand Staffing Platform,
Housejoy,2018,,"Beauty, Fitness, Home Services, Internet",Series B,"$ 32,40,000.00","Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,
Ambee,2018,2012,"Health Care, Medical Device, Public Safety",Angel,—,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,
FoodBuddy,2018,2017,"Food Delivery, Online Portals, Restaurants",Seed,"₹ 6,00,00,000.00","Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",
Ninjacart,2018,,"AgTech, B2B, Supply Chain Management",Series B,"₹ 2,50,00,00,000.00","Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,
Olly Smart Credit Card,2018,,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,—,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,
Zestl,2018,,Software,Seed,—,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",
BYJU’S,2018,2013,"EdTech, Education, Higher Education, Secondary Education",Private Equity,"$ 54,00,00,000.00","Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,
Wakefit,2018,2015,"Manufacturing, Retail",Venture - Series Unknown,"₹ 65,00,00,000.00","Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,
Hero Electric,2018,2013,Manufacturing,Venture - Series Unknown,"₹ 1,60,00,00,000.00","New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",
Pentation Analytics,2018,2015,"Information Services, Information Technology, InsurTech",Seed,—,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,
PerkFinance,2018,2016,"Consumer Lending, FinTech",Seed,"$ 9,00,000.00","Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,
Roposo,2018,2015,"Internet, Social Network, TV",Series C,"$ 1,00,00,000.00","Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,
Plum Goodness,2018,,"Beauty, Health Care",Series A,—,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,
Drstore,2018,2008,Hospital,Seed,—,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,
Wow Venue,2018,2015,Events,Venture - Series Unknown,"$ 15,00,000.00","Mumbai, Maharashtra, India",Wow Venue is an online platform.,
Chizel,2018,2014,"3D Printing, Manufacturing, Product Design",Seed,—,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,
OTO Capital,2018,2015,Automotive,Seed,"₹ 5,00,00,000.00","Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,
Boodmo,2018,2018,"Automotive, Retail",Seed,"₹ 7,00,00,000.00","Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,
Khabri,2018,,"Apps, Audio",Seed,—,"Haryana, Haryana, India",Khabri is a digital audio platform for content in vernacular.,
MyNewCar.in,2018,2019,"Automotive, E-Commerce",Venture - Series Unknown,"$ 10,00,000.00","Gurgaon, Haryana, India",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,
HalaPlay Technologies,2018,2015,"Digital Entertainment, Fantasy Sports, Sports",Series A,"$ 50,00,000.00","Bangalore, Karnataka, India",A daily fantasy sports platform.,
PlanetSpark,2018,2010,"E-Learning, EdTech, Education",Seed,"₹ 1,60,00,000.00","Gurgaon, Haryana, India",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,
WheelsEMI,2018,2013,—,Series B,"$ 1,40,00,000.00","Pune, Maharashtra, India","WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",
Forum for Innovation Incubation Research and Entrepreneurship,2018,,"Funding Platform, Incubators, Non Profit",Grant,"₹ 10,25,00,000.00","Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",
OYO,2018,,"Hospitality, Hotel, Leisure, Travel",Series E,"$ 10,00,00,000.00","Gurgaon, Haryana, India",OYO is an Indian hospitality startup that operates a network of budget hotels.,
Quikr,2018,,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,"₹ 55,00,00,000.00","Bangalore, Karnataka, India","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",
Tabono,2018,2013,Sports,Seed,—,"Gurgaon, Haryana, India",Tabono is a one stop environment for all your fitness solution.,
LearnApp,2018,2016,"Banking, E-Learning, Trading Platform",Seed,"₹ 2,00,00,000.00","Noida, Uttar Pradesh, India","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",
Shopkirana,2018,2015,"E-Commerce, Mobile, Retail",Venture - Series Unknown,"$ 20,00,000.00","Indore, Madhya Pradesh, India",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,
Fric Bergen,2018,,—,Venture - Series Unknown,—,"Alwar, Rajasthan, India",Fric Bergen is a leader in the specialty food industry.,
Articbot,2018,2019,"Artificial Intelligence, Information Technology",Grant,"₹ 12,00,000.00","Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,
BuildSupply,2018,2019,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,"₹ 25,00,00,000.00","Gurgaon, Haryana, India",India’s most advanced ERP system for the real estate,
Fusion Microfinance,2018,2018,"Banking, Finance, Financial Services",Series E,"₹ 5,20,00,00,000.00","New Delhi, Delhi, India",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,
Any time Doctor,2018,2020,Software,Angel,—,"Chennai, Tamil Nadu, India",Anytime Doctor is a Software company.,
Go Payments,2018,2016,"Information Services, Information Technology",Corporate Round,—,"Mumbai, Maharashtra, India",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,
Guiddoo World,2018,2019,"Audio, Mobile, Tourism, Travel",Seed,"$ 8,00,000.00","Mumbai, Maharashtra, India",We build In-Destination Experiences!,
ION Energy,2018,2008,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,"$ 10,41,000.00","Mumbai, Maharashtra, India",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,
UnoTag,2018,2018,Artificial Intelligence,Pre-Seed,"$ 1,00,000.00","Bangalore, Karnataka, India",SaaS to verify counterfeit,
CivilCops,2018,2015,"Government, Information Technology, Software",Pre-Seed,"$ 1,00,000.00","Gurgaon, Haryana, India",Gov-Tech,
